gt_mode,walking,bicycling,car,bus,subway,train,no_sensed
Walk,24743.68970823288,1595.0409545898438,564.2668964862823,682.7616808414459,235.45887637138367,359.07876443862915,6637.049900054932
Regular Bike,228.40013313293457,3111.8720767498016,0.0,0.0,0.0,0.0,211.59692430496216
Pilot ebike,2.3636908531188965,7176.137414216995,0.0,0.0,0.0,0.0,107.74923300743103
Scooter share,0.0,4957.782658815384,0.0,0.0,0.0,0.0,107.70093727111816
"Car, sensed",0.0,0.0,7582.201101064682,0.0,0.0,0.0,902.6691069602966
Bus,0.0,0.0,8414.58699631691,15607.109352111816,0.0,0.0,589.070475101471
Train,0.0,0.0,0.0,0.0,19651.153451919556,0.0,24.571399450302124
Train,795.5828249454498,825.2485337257385,0.0,2920.3606593608856,0.0,0.0,308.2300000190735
Train,13.111745119094849,0.0,0.0,0.0,0.0,35726.70413398743,415.53578066825867
no_gt,2789.4827456474304,238.0050642490387,137.48470735549927,1016.6817457675934,563.8761234283447,815.0788910388947,198614.83230996132
